TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
00,,27,28,18,23,25,27,26,26,13,28,23,23,26,34,26,25,23,25,27,27,29,30,25,26,27
01,,25,28,18,23,24,24,26,24,13,27,18,21,25,33,25,25,23,25,27,23,28,30,24,22,27
02,,27,23,18,24,23,24,23,23,13,27,21,23,25,32,25,26,24,21,27,25,29,28,24,23,25
03,,25,21,19,24,23,24,22,23,13,27,22,25,24,32,25,25,24,21,27,23,27,28,23,26,25
04,,27,21,19,22,23,24,22,22,14,28,23,27,24,31,27,27,22,21,27,25,27,28,23,25,27
05,,28,25,18,22,23,25,24,22,16,28,22,25,24,31,27,27,22,25,27,25,26,27,22,25,27
06,,21,25,20,22,21,26,25,21,16,27,25,23,23,31,25,25,22,25,27,25,27,27,22,25,25
07,,20,23,19,21,20,27,26,21,16,20,25,21,23,31,25,27,21,25,28,28,27,27,22,22,25
08,,30,28,21,26,20,29,29,21,18,30,27,28,23,32,28,29,26,27,28,30,28,30,21,28,28
09,,34,32,22,30,27,30,32,26,19,36,30,30,26,32,32,34,30,32,32,34,31,32,26,31,32
10,,36,34,25,33,32,33,36,30,15,37,33,32,29,33,36,37,33,36,34,37,32,37,30,35,36
11,,37,36,28,34,36,34,37,34,23,39,35,34,32,34,36,38,34,37,34,37,33,37,33,36,36
12,,39,37,30,36,39,37,39,37,28,41,36,34,34,35,38,40,36,37,34,41,34,39,35,37,37
13,,38,37,29,37,42,38,40,39,28,41,37,36,36,35,39,41,37,39,34,41,35,39,37,41,37
14,,39,37,29,37,43,37,41,40,28,41,36,36,37,35,39,41,37,39,34,41,36,39,38,40,37
15,,39,37,28,37,43,37,39,41,23,41,35,36,37,35,39,41,37,39,34,41,35,39,39,41,38
16,,36,37,28,35,43,34,38,41,21,40,34,34,37,34,37,38,35,39,34,39,34,37,39,38,37
17,,36,32,26,35,39,33,37,37,20,39,33,34,35,33,36,36,35,37,34,36,32,36,37,36,32
18,,36,32,25,32,35,32,35,33,19,37,32,32,33,33,35,35,32,36,32,34,28,34,35,34,31
19,,30,30,24,32,32,29,33,30,19,36,31,32,32,33,34,32,32,34,32,34,31,32,36,35,32
20,,29,30,23,31,31,27,30,29,19,34,31,32,31,34,32,31,31,32,30,34,29,36,34,33,31
21,,28,30,23,30,29,27,29,27,19,32,30,32,30,34,32,27,28,33,30,32,29,34,34,33,28
22,,27,28,24,31,29,25,28,26,19,34,29,30,29,31,30,26,30,34,30,32,27,32,33,32,27
23,,26,28,24,29,28,26,28,25,18,36,27,30,29,32,32,26,29,30,30,36,28,32,31,32,28
00,,26,27,22,29,27,24,29,24,16,32,26,30,28,33,30,24,29,28,28,36,33,32,30,30,31
01,,24,27,22,28,25,24,29,21,16,32,26,30,27,34,30,27,28,28,28,27,32,32,29,30,31
02,,24,28,22,26,25,27,29,20,16,32,24,28,26,33,30,25,26,27,28,27,32,32,28,31,32
03,,23,32,22,24,24,25,29,19,16,32,23,27,26,34,29,27,24,28,28,27,31,32,27,30,30
04,,22,30,21,24,24,26,27,18,16,32,22,27,25,33,28,28,24,28,28,27,31,32,27,29,28
05,,22,30,21,24,24,27,28,17,14,32,22,23,25,33,27,28,24,28,28,30,30,30,28,28,28
06,,21,28,21,22,21,27,27,17,14,30,23,23,24,32,26,26,22,28,27,32,30,28,27,26,27
07,,21,28,20,23,20,28,28,16,14,30,23,21,24,32,27,27,23,30,25,28,30,28,27,26,27
08,,21,30,22,27,20,31,31,16,16,32,26,27,24,33,28,31,27,32,30,32,31,32,30,28,30
09,,26,32,24,31,27,34,34,22,19,34,29,30,27,34,32,35,31,34,32,36,32,34,34,32,33
10,,30,34,26,34,32,35,36,27,19,36,31,32,30,36,34,38,34,37,34,37,34,37,36,34,36
11,,34,37,27,36,36,37,37,31,19,37,34,34,32,36,36,39,36,37,34,39,34,37,37,36,37
12,,37,37,29,38,39,39,39,35,21,36,33,34,34,38,37,40,38,39,34,41,35,37,38,37,38
13,,39,37,28,38,42,39,40,38,19,38,36,36,36,38,36,41,38,39,34,41,36,39,38,37,37
14,,40,37,29,38,43,38,39,39,19,38,35,36,37,38,37,41,38,39,34,41,36,39,39,38,37
15,,40,37,27,37,43,37,39,40,19,39,33,34,37,37,36,41,37,39,32,39,35,37,39,37,37
16,,40,36,26,34,43,34,36,40,18,37,31,34,37,35,34,38,34,37,32,37,33,37,37,35,36
17,,36,32,24,32,38,29,33,36,16,34,28,32,34,35,30,35,32,34,30,32,33,34,34,33,34
18,,32,28,23,29,34,27,31,32,16,32,26,30,30,35,30,32,29,32,30,28,32,30,32,31,26
19,,29,28,22,28,31,27,26,29,16,32,25,30,28,34,28,31,28,32,28,27,31,27,32,30,28
20,,27,23,22,27,30,28,25,28,14,32,25,28,28,34,27,28,27,30,28,27,31,27,30,29,28
21,,26,23,21,26,28,26,24,26,14,30,21,28,25,34,26,25,27,28,27,24,29,23,28,29,28
22,,25,21,20,24,27,28,27,25,14,28,22,27,25,33,26,28,21,28,25,25,29,30,27,28,27
23,,24,21,19,22,27,27,27,24,14,28,19,21,24,32,26,25,22,27,25,27,28,28,25,26,27
00,,23,19,19,22,26,26,25,23,12,27,18,21,21,31,25,26,22,25,25,27,27,23,23,25,21
01,,21,19,17,19,24,23,25,20,10,27,17,21,19,30,21,25,19,25,25,27,26,25,21,22,21
02,,20,19,17,20,23,20,24,19,9,25,18,18,17,30,21,25,20,27,23,25,26,21,19,19,19
03,,20,18,17,15,23,19,23,18,10,25,15,18,16,29,19,22,15,25,21,25,27,21,19,18,16
04,,19,16,16,17,22,19,23,17,9,21,15,16,15,29,18,20,17,25,21,25,27,21,19,16,16
05,,18,16,15,16,22,19,22,16,9,19,14,14,10,29,16,22,16,25,21,21,26,19,18,14,16
06,,17,14,13,15,19,18,21,16,9,18,15,16,9,28,14,22,15,23,21,21,26,18,19,13,13
07,,17,14,11,14,18,19,22,15,7,12,12,12,10,29,16,21,14,25,21,21,26,19,20,13,16
08,,17,27,16,21,18,25,27,15,9,25,19,19,19,31,21,26,21,28,25,27,27,25,21,21,23
09,,23,30,20,26,25,29,29,21,14,30,24,23,28,33,27,30,26,32,28,32,28,30,27,27,28
10,,28,32,25,30,29,32,31,26,19,32,29,28,36,34,32,34,30,32,30,33,29,32,32,32,30
11,,33,34,29,33,33,34,33,31,28,34,33,30,39,35,34,36,33,36,34,36,31,34,34,35,34
12,,36,37,33,35,36,35,35,35,32,36,34,34,39,34,35,38,35,36,36,37,31,37,37,37,34
